Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
1.2821584102177828,0.8482329463678383,0.006605617859800753,-1.1518466903509514e-32,0.002914399573224153,-0.08716758794232873,5.6700642173853304e-33
1.2891819789835683,0.8482524497465189,0.0059924612834777,-1.1476939598160374e-32,0.002639389225303483,-0.08742793181122503,6.154833065733205e-33
1.2961915839188682,0.8482699904691822,0.005378788941223323,-1.1432105277327573e-32,0.0023654643134233488,-0.08766256657927324,6.637159017471709e-33
1.3031884611092563,0.8482855862010181,0.004764678814843064,-1.138398633162121e-32,0.002092524941525171,-0.08787157599016021,7.116957377444597e-33
1.3101738860216114,0.8482992529228808,0.004150203052862344,-1.1332603561615331e-32,0.00182046836052984,-0.08805503841304801,7.59414719452342e-33
1.317149106603177,0.8483110047774545,0.0035354340793650125,-1.1277976632394927e-32,0.0015491917578919264,-0.08821302458397018,8.068646493695494e-33
1.3241154136355204,0.8483208541999736,0.0029204386449105816,-1.122012354914017e-32,0.0012785896905353053,-0.0883455991780592,8.540376895870787e-33
1.3310740688651854,0.848328811791167,0.002305284401447955,-1.1159061217220388e-32,0.0010085570470961826,-0.08845281893687708,9.009258544146594e-33
1.3380263317396452,0.8483348863794951,0.0016900377985269287,-1.109480527300205e-32,0.0007389881665448221,-0.08853473335763744,9.475211766017226e-33
1.344973486498498,0.8483390850399533,0.0010747619276311967,-1.1027369837806859e-32,0.00046977594553598595,-0.08859138482067544,9.938158707761168e-33
1.351916803551403,0.8483414130557119,0.0004595201839550024,-1.0956767882487622e-32,0.00020081348962013072,-0.08862280796566377,1.0398020564758908e-32
1.3588575614575187,0.848341873937712,-0.00015562543230939147,-1.0883011043362887e-32,-0.0000680065888949678,-0.08862902986991454,1.0854718881467902e-32
1.3657970274867186,0.84834046942241,-0.0007706123475753117,-1.080610984822892e-32,-0.0003367912697491549,-0.08861006995341604,1.1308174100089645e-32
1.3727372395991302,0.8483371990151484,-0.0013854464271050185,-1.0726064574088134e-32,-0.0006056772800167285,-0.08856593377446219,1.1758355952279047e-32
1.379679736646469,0.8483320600655152,-0.0020000890910552784,-1.0642879052386939e-32,-0.0008747818000174711,-0.08849661404276889,1.2205199917856485e-32
1.3866257831919788,0.8483250481811534,-0.0026144769869297394,-1.0556558989357538e-32,-0.0011442110259738977,-0.08840209622951141,1.264862251857213e-32
1.393576664676979,0.8483161571793058,-0.00322854789947671,-1.0467108749326031e-32,-0.0014140714549985872,-0.08828235795889106,1.3088540466563008e-32
1.4005336494644867,0.8483053791219616,-0.0038422371469679964,-1.0374531858558016e-32,-0.0016844682625585343,-0.08813736954813661,1.3524868083288606e-32
1.4074980168392839,0.8482927042832936,-0.004455479810288348,-1.0278830690344813e-32,-0.001955506235951177,-0.08796709365574941,1.3957518929755087e-32
1.4144710463904067,0.8482781211573798,-0.005068209546045546,-1.0180006634831571e-32,-0.0022272892064713135,-0.08777148549319232,1.4386404977284662e-32
1.421454013089183,0.848261616468741,-0.005680357908157858,-1.0078060214366943e-32,-0.002499919696857474,-0.08755049309292863,1.4811436164343723e-32
1.4284481860628937,0.8482431751805671,-0.006291853999127464,-9.972991157218649e-33,-0.002773498706430072,-0.08730405756246534,1.5232520198063903e-32
1.4354548404056673,0.8482227804652257,-0.006902625259607209,-9.864798272274036e-33,-0.003048126001249386,-0.08703211285177093,1.5649563137687355e-32
1.4424752434673103,0.8482004137401775,-0.007512596025345028,-9.753479706297928e-33,-0.003323899400284381,-0.08673458641133926,1.6062468441238434e-32
1.4495106542307434,0.8481760546795546,-0.008121687239296594,-9.63903302184777e-33,-0.003600914563565613,-0.08641139953584115,1.647113683058407e-32
